episode,algorithm,exploration,reward_shaping,grid_size,score,env_reward,learning_reward,steps,done_cause,mean_abs_td_error,moving_avg_score,moving_avg_env_reward,moving_avg_steps,epsilon,temperature,visited_states,visited_state_action_pairs,q_mean_abs,q_max,q_min
1,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7483333333333333,0.0,-10.5,6.0,0.999,0.995,4,5,0.0001707356770833333,0.0,-1.0
2,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.7483333333333333,0.0,-10.5,6.0,0.998001,0.990025,8,10,0.0003414713541666666,0.0,-1.0
3,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.198888888888889,0.0,-10.6,7.0,0.997002999,0.985074875,14,18,0.00051708984375,0.0,-1.0
4,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0762,0.0,-10.55,6.5,0.996005996001,0.9801495006250001,16,22,0.0006860514322916666,0.0,-1.0
5,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.1965611111111112,0.0,-10.6,7.0,0.995009990004999,0.9752487531218751,19,27,0.0008613289388020832,0.0,-1.0
6,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.575,0.0,-10.549999999999999,6.5,0.994014980014994,0.9703725093562657,21,31,0.0010289721679687502,0.0,-1.0
7,q_learning,epsilon_greedy,none,6,0,-12.0,-12.0,21,collision,0.5625242857142857,0.0,-10.757142857142856,8.571428571428571,0.993020965034979,0.9655206468094844,28,41,0.0012212412109375,0.0,-1.0
8,q_learning,epsilon_greedy,none,6,1,-2.5999999999999925,-2.5999999999999925,28,collision,0.8001396428571429,0.125,-9.7375,11.0,0.9920279440699441,0.960693043575437,36,54,0.0015826329752604163,0.9910000000000001,-1.0
9,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.500937,0.1111111111111111,-9.833333333333334,10.555555555555555,0.9910359161258742,0.9558895783575597,38,57,0.0017536381673177082,0.9910000000000001,-1.0
10,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.078,0.1,-9.89,10.0,0.9900448802097482,0.9511101304657719,41,61,0.0019227462402343746,0.9910000000000001,-1.0
11,q_learning,epsilon_greedy,none,6,0,-10.2,-10.2,3,collision,3.3931833333333334,0.09090909090909091,-9.91818181818182,9.363636363636363,0.9890548353295385,0.946354579813443,41,62,0.0020884290201822913,0.9910000000000001,-1.0
12,q_learning,epsilon_greedy,none,6,0,-13.100000000000001,-13.100000000000001,32,collision,0.4047515625,0.08333333333333333,-10.183333333333335,11.25,0.988065780494209,0.9416228069143757,51,80,0.002299237125651041,0.9910000000000001,-1.0
13,q_learning,epsilon_greedy,none,6,0,-10.6,-10.6,7,collision,1.5058064285714285,0.07692307692307693,-10.215384615384616,10.923076923076923,0.9870777147137147,0.9369146928798039,52,82,0.002470797102864583,0.9910000000000001,-1.0
14,q_learning,epsilon_greedy,none,6,0,-10.7,-10.7,8,collision,1.32967271875,0.07142857142857142,-10.25,10.714285714285714,0.986090636999001,0.9322301194154049,54,86,0.0026439315714518225,0.9910000000000001,-1.0
15,q_learning,epsilon_greedy,none,6,0,-11.6,-11.6,17,collision,0.6789088235294117,0.06666666666666667,-10.34,11.133333333333333,0.9851045463620021,0.9275689688183278,55,96,0.0028317806925455724,0.9910000000000001,-1.0
16,q_learning,epsilon_greedy,none,6,0,-10.8,-10.8,9,collision,1.0742490161111111,0.0625,-10.368749999999999,11.0,0.98411944181564,0.9229311239742362,57,98,0.0029891413882649734,0.9910000000000001,-1.9
17,q_learning,epsilon_greedy,none,6,1,-0.1999999999999993,-0.1999999999999993,4,collision,4.7862125,0.11764705882352941,-9.770588235294115,10.588235294117647,0.9831353223738244,0.918316468354365,57,99,0.0033007437645670573,0.9990500000000001,-1.9
18,q_learning,epsilon_greedy,none,6,0,-10.3,-10.3,4,collision,2.565950625,0.1111111111111111,-9.799999999999999,10.222222222222221,0.9821521870514506,0.9137248860125932,57,100,0.003467797841715494,0.9990500000000001,-1.9
19,q_learning,epsilon_greedy,none,6,0,-10.5,-10.5,6,collision,1.5755666666666666,0.10526315789473684,-9.836842105263157,10.0,0.9811700348643991,0.9091562615825302,57,102,0.003621661774007161,0.9990500000000001,-1.9
20,q_learning,epsilon_greedy,none,6,0,-12.3,-12.3,24,collision,0.5014520699927083,0.1,-9.959999999999999,10.7,0.9801888648295347,0.9046104802746175,58,106,0.003817541488848063,0.9990500000000001,-1.9
21,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.0655344495525,0.09523809523809523,-9.980952380952381,10.428571428571429,0.9792086759647052,0.9000874278732445,59,108,0.003985635112672322,0.9990500000000001,-1.9
22,q_learning,epsilon_greedy,none,6,1,-1.1999999999999975,-1.1999999999999975,14,collision,1.4997910921428572,0.13636363636363635,-9.58181818181818,10.590909090909092,0.9782294672887405,0.8955869907338783,62,113,0.004327384384970499,1.094145,-1.9
23,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,2.072951,0.13043478260869565,-9.617391304347825,10.347826086956522,0.9772512378214517,0.8911090557802088,65,117,0.004496081569215291,1.094145,-1.9
24,q_learning,epsilon_greedy,none,6,0,-10.4,-10.4,5,collision,1.6961899999999999,0.125,-9.649999999999999,10.125,0.9762739865836303,0.8866535105013078,66,119,0.004634117864788207,1.094145,-2.71
