grid_size,episodes,eval_episodes,max_food_available,trained_avg_score,trained_avg_score_fraction,trained_std_score,trained_max_score,trained_max_score_fraction,trained_avg_reward,trained_avg_steps,random_avg_score,random_avg_steps,improvement_over_random_score,final_100_episode_moving_avg_score,final_100_episode_moving_avg_steps,visited_states,visited_state_action_pairs,total_updates,q_mean_abs,output_dir
6,10000,300,34,13.73,0.4038235294117647,4.288406852589121,27,0.7941176470588235,121.67333333333347,69.98666666666666,0.18666666666666668,8.723333333333333,13.543333333333333,12.31,61.8,256,742,611892,0.9360473991507764,results\grid_size_comparison\q_learning_6x6
8,10000,300,62,16.883333333333333,0.2723118279569892,5.204778787059276,36,0.5806451612903226,149.45166666666697,111.02666666666667,0.14333333333333334,14.153333333333334,16.74,14.67,97.03,256,749,929424,0.7953856498845621,results\grid_size_comparison\q_learning_8x8
